Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
18222694,Proof: The Science of Booze,Adam Rogers,"Rogers, Adam",,"=""0547897960""","=""9780547897967""",0,3.91,Houghton Mifflin Harcourt,Hardcover,272,2014,2014,,2014/11/22,"to-read, biology, nonfiction, science, library","to-read (#242), biology (#28), nonfiction (#22), science (#48), library (#54)",to-read,,,,0,,,0,,,,,
13335037,"Divergent (Divergent, #1)",Veronica Roth,"Roth, Veronica",,"=""0062024035""","=""9780062024039""",0,4.19,Katherine Tegen Books,Paperback,487,2012,2011,,2014/03/17,"to-read, fiction, kindle, made-into-movie, fantasy","to-read (#181), fiction (#155), kindle (#41), made-into-movie (#78), fantasy (#41)",to-read,,,,0,,,0,,,,,
23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",5,4.42,Harvill Secker,Paperback,498,2014,2011,2019/04/14,2016/10/22,"biology, history, nonfiction, science, library, history-of-science, read-again","biology (#68), history (#80), nonfiction (#172), science (#135), library (#10), history-of-science (#74), read-again (#23)",read,"Insightful viewpoints on almost every imaginable aspect of humanity- anthropology, biology, physics, economics, religion, and much more. Definitely an impressive comprehensive work.",,,1,,,0,,,,,
33385229,They Both Die at the End,Adam Silvera,"Silvera, Adam",,"=""0062457799""","=""9780062457790""",3,4.12,Quill Tree Books,Hardcover,373,2017,2017,2019/04/04,2018/04/06,"fiction, library, young-adult","fiction (#376), library (#24), young-adult (#41)",read,"Maybe I would have liked this more if I were still a young adult, but as it is it didn’t really resonate with me. There were some good ideas on living and dying but I didn’t connect well with the characters, and the story arc was weak.",,,1,,,0,,,,,
22318578,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,"Kondō, Marie",Cathy Hirano,"=""1607747308""","=""9781607747307""",3,3.84,Ten Speed Press,Hardcover,213,2014,2011,2019/03/31,2015/01/17,"nonfiction, library, made-into-movie, self-help","nonfiction (#47), library (#21), made-into-movie (#132), self-help (#13)",read,"You can get everything you need out of the first two pages. Definitely mostly an ad for herself as a consultant. That being said, there were some useful statements throughout the book that helped me get rid of things I thought were useful but really are just taking up space. Tidy house, tidy mind.",,,1,,,0,,,,,
17402605,"The Alchemyst (The Secrets of the Immortal Nicholas Flamel, #1)",Michael Scott,"Scott, Michael",,"=""0552562521""","=""9780552562522""",2,3.85,Corgi Childrens,Paperback,390,2010,2007,2019/03/31,2017/04/13,"fiction, library, fantasy, young-adult","fiction (#374), library (#27), fantasy (#40), young-adult (#40)",read,"Maybe this could have been a great story, but it was very poorly organized. The action starts immediately, which means the reader is desperately trying to keep up while being totally in the dark about how and why these things are happening. It isn’t until halfway through the book that we actually get some explanation and backstory. None of the characters had much development at all. There were, however, some interesting historical elements to the story that I wish had been incorporated better.",,,2,,,0,,,,,
821026,A Trip to the Beach: Living on Island Time in the Caribbean,Melinda Blanchard,"Blanchard, Melinda",Robert Blanchard,"=""060980748X""","=""9780609807484""",0,3.91,Potter Style,Paperback,304,2001,2000,,2019/03/27,"to-read, biography, island, nonfiction, ocean, self-help","to-read (#483), biography (#86), island (#45), nonfiction (#307), ocean (#62), self-help (#15)",to-read,,,,0,,,0,,,,,
34728667,"Children of Blood and Bone (Legacy of Orïsha, #1)",Tomi Adeyemi,"Adeyemi, Tomi",,"=""1250170974""","=""9781250170972""",4,4.13,Henry Holt Company,Hardcover,544,2018,2018,2018/12/08,2018/04/12,"fantasy, fiction, made-into-movie, kindle, young-adult, diversity","fantasy (#4), fiction (#384), made-into-movie (#108), kindle (#307), young-adult (#13), diversity (#7)",read,,,,1,,,0,,,,,
1401369,The Color Purple,Alice Walker,"Walker, Alice",,"=""0671647458""","=""9780671647452""",5,4.22,Pocket Books,Mass Market Paperback,295,1982,1982,2018/04/21,2014/02/09,"top-100-lifetime, fiction, award-winning, bbc, history, banned, made-into-movie, classics, emotional, diversity","top-100-lifetime (#32), fiction (#49), award-winning (#10), bbc (#17), history (#56), banned (#1), made-into-movie (#117), classics (#125), emotional (#16), diversity (#6)",read,"This book is powerful. It is graphic and uncomfortable at times but the story is compelling, the narrative feels authentic, and the character development is excellent. The namesake of the book is a sentence in the middle that talks about noticing all the small beauties and joys in life, like a splash of purple flowers in a field of green. These characters have had so many terrible experiences in their lives that it can be difficult for them to see the light, but the details are what make all the difference.",,,1,,,0,,,,,
9516,"Persepolis: The Story of a Childhood (Persepolis, #1)",Marjane Satrapi,"Satrapi, Marjane",Mattias Ripa,"=""037571457X""","=""9780375714573""",0,4.25,Pantheon,Paperback,153,2004,2000,,2014/02/09,"to-read, top-100-lifetime, award-winning, biography, emotional, highly-recommended, nonfiction, diversity","to-read (#82), top-100-lifetime (#82), award-winning (#38), biography (#61), emotional (#12), highly-recommended (#124), nonfiction (#237), diversity (#5)",to-read,,,,0,,,0,,,,,
