Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
68024,Steering the Craft: Exercises and Discussions on Story Writing for the Lone Navigator or the Mutinous Crew,Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""0933377460""","=""9780933377462""",5,4.20,The Eighth Mountain Press,Paperback,173,1998,1998,2021/12/31,2021/11/04,"books-about-books, kindle, nonfiction, review","books-about-books (#21), kindle (#356), nonfiction (#462), review (#141)",read,,,,1,,,0,,,,,
3109,The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,"Pollan, Michael",,"=""1594200823""","=""9781594200823""",5,4.17,The Penguin Press,Hardcover,450,2006,2006,2021/12/31,2014/02/09,"top-100-lifetime, kindle, nonfiction, science, biology, cooking, review","top-100-lifetime (#95), kindle (#221), nonfiction (#184), science (#145), biology (#136), cooking (#10), review (#150)",read,,,,1,,,0,,,,,
67896,Tao Te Ching,Lao Tzu,"Tzu, Lao","Gia-Fu Feng, Jane English, Toinette Lippe, Jacob Needleman","=""0679724346""","=""9780679724346""",3,4.28,Vintage,Paperback,160,1989,1961,2021/12/25,2021/11/30,"classics, library, nonfiction, philosophy, self-help, history","classics (#163), library (#359), nonfiction (#467), philosophy (#61), self-help (#57), history (#201)",read,,,,1,,,0,,,,,
54493401,Project Hail Mary,Andy Weir,"Weir, Andy",,"=""0593135202""","=""9780593135204""",5,4.53,Ballantine Books,Hardcover,476,2021,2021,2021/06/29,2021/05/07,"fiction, library, new, science-fiction, space, biology, favorites, st-thomas","fiction (#557), library (#330), new (#72), science-fiction (#105), space (#72), biology (#125), favorites (#59), st-thomas (#80)",read,,,,1,,,0,,,,,
7799004,Merchants of Doubt: How a Handful of Scientists Obscured the Truth on Issues from Tobacco Smoke to Global Warming,Naomi Oreskes,"Oreskes, Naomi",Erik M. Conway,"=""1596916109""","=""9781596916104""",0,4.18,Bloomsbury Press,Hardcover,274,2010,2010,,2015/06/24,"history-of-science, history, nonfiction, to-read, science, highly-recommended, kindle","history-of-science (#29), history (#43), nonfiction (#105), to-read (#212), science (#93), highly-recommended (#114), kindle (#359)",to-read,,,,0,,,0,,,,,
6326207,The Diary of a U-boat Commander,R.N. Etienne,"Etienne, R.N.",Stephen King-Hall,"=""""","=""""",3,3.73,,Kindle Edition,272,2009,1920,2021/12/25,2017/04/13,"biography, history, nonfiction, library, fiction","biography (#44), history (#85), nonfiction (#183), library (#264), fiction (#566)",read,,,,1,,,0,,,,,
54252148,The Chamber Divers,Rachel Lance,"Lance, Rachel",,"=""""","=""""",0,0.0,Dutton,,,,,,2021/12/21,to-read,to-read (#379),to-read,,,,0,,,0,,,,,
32025298,"The Woman Who Smashed Codes: A True Story of Love, Spies, and the Unlikely Heroine who Outwitted America's Enemies",Jason Fagone,"Fagone, Jason",,"=""0062430483""","=""9780062430489""",3,4.06, Dey Street Books,Hardcover,444,2017,2017,2021/12/21,2018/08/30,"biography, history, history-of-science, nonfiction, library, audio, science","biography (#64), history (#115), history-of-science (#61), nonfiction (#247), library (#244), audio (#50), science (#253)",read,,,,1,,,0,,,,,
57007683,The Apollo Murders,Chris Hadfield,"Hadfield, Chris",,"=""0316264539""","=""9780316264532""",4,4.00,Mulholland Books,Hardcover,480,2021,2021,2021/12/20,2021/05/23,"fiction, new, science-fiction, space, thriller, library","fiction (#558), new (#74), science-fiction (#106), space (#73), thriller (#34), library (#357)",read,,,,1,,,0,,,,,
28116739,"Other Minds: The Octopus, the Sea, and the Deep Origins of Consciousness",Peter Godfrey-Smith,"Godfrey-Smith, Peter",,"=""0374227764""","=""9780374227760""",0,3.87,"Farrar, Straus and Giroux",Hardcover,257,2016,2016,,2021/12/20,"to-read, biology, highly-recommended, learning, nonfiction, ocean, psychology, review, science","to-read (#378), biology (#134), highly-recommended (#116), learning (#104), nonfiction (#471), ocean (#88), psychology (#28), review (#149), science (#252)",to-read,,,,0,,,0,,,,,
78428,Your Money or Your Life,Vicki Robin,"Robin, Vicki",Joe Dominguez,"=""0140286780""","=""9780140286786""",4,4.01,Penguin Books,Paperback,400,1999,1992,2021/03/03,2021/02/12,"library, nonfiction, philosophy, review, self-help, psychology","library (#312), nonfiction (#422), philosophy (#58), review (#105), self-help (#48), psychology (#27)",read,,,,1,,,0,,,,,
11468377,"Thinking, Fast and Slow",Daniel Kahneman,"Kahneman, Daniel",,"=""0374275637""","=""9780374275631""",4,4.17,"Farrar, Straus and Giroux",Hardcover,499,2011,2011,2020/01/11,2014/12/18,"guestroom, nonfiction, science, philosophy, library, self-help, review, psychology","guestroom (#6), nonfiction (#33), science (#50), philosophy (#11), library (#131), self-help (#20), review (#63), psychology (#26)",read,,,,1,,,0,,,,,
37570546,"Maybe You Should Talk to Someone: A Therapist, Her Therapist, and Our Lives Revealed",Lori Gottlieb,"Gottlieb, Lori",,"=""1328662055""","=""9781328662057""",5,4.38,Mariner Books,Hardcover,415,2019,2019,2020/08/11,2020/06/25,"library, nonfiction, self-help, biography, emotional, philosophy, psychology","library (#162), nonfiction (#328), self-help (#23), biography (#98), emotional (#35), philosophy (#38), psychology (#25)",read,,,,1,,,0,,,,,
23848559,Furiously Happy: A Funny Book About Horrible Things,Jenny  Lawson,"Lawson, Jenny",,"=""1250077001""","=""9781250077004""",3,3.89,Flatiron Books,Hardcover,329,2015,2015,2019/04/19,2019/04/13,"biography, humor, library, nonfiction, self-help, audio, psychology","biography (#78), humor (#18), library (#47), nonfiction (#276), self-help (#15), audio (#6), psychology (#24)",read,"I borrowed the audiobook version from the library, and I think the book would have been a better choice. I made it about two-thirds of the way through and couldn’t do it anymore. It should have stopped one story after the revelations about struggling through depression and just being yourself- then I would have really enjoyed it. There was the authenticity of the author telling her own story and the way her inflections and noises round out the emotions and land the jokes, but after a while the book just turned into her rambling about strange things that have happened to her. Way to be yourself, but I could have used a little less of it.",,,1,,,0,,,,,
25066556,Presence: Bringing Your Boldest Self to Your Biggest Challenges,Amy Cuddy,"Cuddy, Amy",,"=""0316256579""","=""9780316256575""",4,3.89,"Little, Brown Spark",Hardcover,352,2015,2015,2016/03/09,2016/01/31,"nonfiction, self-help, psychology","nonfiction (#132), self-help (#2), psychology (#23)",read,,,,1,,,0,,,,,
13642916,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,"Cain, Susan",,"=""0307352153""","=""9780307352156""",5,4.07,Broadway Books,Paperback,352,2013,2012,,2014/04/15,"favorites, st-thomas, nonfiction, self-help, review, psychology","favorites (#33), st-thomas (#47), nonfiction (#398), self-help (#38), review (#5), psychology (#22)",read,,,,1,,,0,,,,,
4865,How to Win Friends and Influence People,Dale Carnegie,"Carnegie, Dale",,"=""""","=""""",5,4.21,Gallery Books,Paperback,288,1998,1936,2021/11/11,2014/02/09,"kindle, nonfiction, read-again, review, self-help, want-to-own, psychology","kindle (#140), nonfiction (#175), read-again (#42), review (#142), self-help (#56), want-to-own (#17), psychology (#21)",read,,,,1,,,0,,,,,
35957157,Thinking in Bets: Making Smarter Decisions When You Don't Have All the Facts,Annie Duke,"Duke, Annie",,"=""0735216355""","=""9780735216358""",3,3.83,Portfolio Penguin,Hardcover,288,2018,2018,2018/08/14,2018/06/16,"nonfiction, self-help, kindle, psychology","nonfiction (#241), self-help (#9), kindle (#290), psychology (#20)",read,"Although at times I didn’t like the self-help nature of this book, Annie Duke has some great advice on decision-making and how to learn from it and improve on it. She covers wide-ranging applications of her ideas from school to investing to actual poker.",,,1,,,0,,,,,
55338982,Cultish: The Language of Fanaticism,Amanda Montell,"Montell, Amanda",,"=""0062993151""","=""9780062993151""",5,4.06,Harper Wave,Hardcover,310,2021,2021,2021/12/12,2021/11/12,"library, new, nonfiction, review, psychology","library (#355), new (#90), nonfiction (#463), review (#143), psychology (#19)",read,,,,1,,,0,,,,,
55507038,How Stella Learned to Talk: The Groundbreaking Story of the World's First Talking Dog,Christina Hunger,"Hunger, Christina",,"=""0063046830""","=""9780063046832""",4,4.48,William Morrow,Hardcover,272,2021,2021,2021/09/20,2021/08/04,"biography, kindle, new, nonfiction, review, psychology","biography (#131), kindle (#354), new (#80), nonfiction (#450), review (#130), psychology (#18)",read,,,,1,,,0,,,,,
40600256,"If I Understood You, Would I Have This Look on My Face?: My Adventures in the Art and Science of Relating and Communicating",Alan Alda,"Alda, Alan",,"=""""","=""""",5,3.86,Random House,Kindle Edition,210,2017,2017,2021/02/27,2019/07/07,"learning, nonfiction, science, self-help, library, humor, want-to-own, audio, psychology","learning (#67), nonfiction (#286), science (#186), self-help (#16), library (#72), humor (#37), want-to-own (#11), audio (#76), psychology (#17)",read,,,,1,,,0,,,,,
1303,The 48 Laws of Power,Robert Greene,"Greene, Robert",Joost Elffers,"=""0140280197""","=""9780140280197""",4,4.15,Penguin Books,Paperback,452,2000,1998,2021/02/07,2015/08/16,"nonfiction, library, audio, history, self-help, psychology","nonfiction (#119), library (#280), audio (#64), history (#184), self-help (#46), psychology (#16)",read,,,,1,,,0,,,,,
31371250,My Lovely Wife in the Psych Ward,Mark Lukach,"Lukach, Mark",,"=""0062422936""","=""9780062422934""",4,4.09,Harper Wave,ebook,320,2017,2017,2021/11/29,2019/05/25,"biography, emotional, library, nonfiction, audio, psychology","biography (#80), emotional (#25), library (#65), nonfiction (#281), audio (#85), psychology (#15)",read,,,,1,,,0,,,,,
40121378,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"Clear, James","Gunnar Nyquist, Nagalakshmi Shanmugam, Ondřej Halámek, Aleš Drobek","=""""","=""""",4,4.38,Avery,Kindle Edition,319,2018,2018,2021/07/09,2021/03/19,"library, nonfiction, review, self-help, psychology","library (#322), nonfiction (#429), review (#111), self-help (#51), psychology (#14)",read,,,,1,,,0,,,,,
18693655,A Mind for Numbers: How to Excel at Math and Science (Even If You Flunked Algebra),Barbara Oakley,"Oakley, Barbara",,"=""039916524X""","=""9780399165245""",4,4.21,The Penguin Group,Paperback,336,2014,2014,2021/09/16,2021/05/18,"library, nonfiction, review, science, self-help, psychology","library (#333), nonfiction (#439), review (#121), science (#233), self-help (#55), psychology (#13)",read,,,,1,,,0,,,,,
11324722,The Righteous Mind: Why Good People Are Divided by Politics and Religion,Jonathan Haidt,"Haidt, Jonathan",,"=""""","=""""",5,4.21,Pantheon,Hardcover,419,2012,2012,2021/02/22,2021/01/25,"library, nonfiction, philosophy, review, psychology","library (#306), nonfiction (#416), philosophy (#55), review (#101), psychology (#12)",read,,,,1,,,0,,,,,
34890015,Factfulness: Ten Reasons We're Wrong About the World – and Why Things Are Better Than You Think,Hans Rosling,"Rosling, Hans","Ola Rosling, Anna Rosling Rönnlund","=""1473637465""","=""9781473637467""",5,4.36,Sceptre,Hardcover,342,2018,2018,2021/04/11,2020/11/07,"library, nonfiction, science, psychology","library (#212), nonfiction (#359), science (#221), psychology (#11)",read,,,,1,,,0,,,,,
56441894,Unwinding Anxiety: New Science Shows How to Break the Cycles of Worry and Fear to Heal Your Mind,Judson Brewer,"Brewer, Judson",,"=""""","=""""",3,3.99,Avery,Kindle Edition,303,2021,2021,2021/08/17,2021/06/26,"biology, library, new, nonfiction, review, science, self-help, psychology","biology (#124), library (#338), new (#77), nonfiction (#444), review (#126), science (#237), self-help (#53), psychology (#10)",read,,,,1,,,0,,,,,
29502354,Rest: Why You Get More Done When You Work Less,Alex Soojung-Kim Pang,"Pang, Alex Soojung-Kim",,"=""0465074871""","=""9780465074877""",3,3.81,Basic Books,Hardcover,320,2016,2016,2021/05/15,2021/02/10,"library, nonfiction, self-help, psychology","library (#310), nonfiction (#421), self-help (#47), psychology (#9)",read,,,,1,,,0,,,,,
13588356,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,"Brown, Brené",,"=""1592407331""","=""9781592407330""",4,4.27,Avery,Hardcover,287,2012,2012,2021/10/18,2014/02/09,"top-100-lifetime, nonfiction, emotional, self-help, library, audio, psychology","top-100-lifetime (#62), nonfiction (#90), emotional (#3), self-help (#27), library (#236), audio (#48), psychology (#8)",read,,,,1,,,0,,,,,
43306206,"The Courage to Be Disliked: How to Free Yourself, Change your Life and Achieve Real Happiness",Ichiro Kishimi,"Kishimi, Ichiro",Fumitake Koga,"=""176063073X""","=""9781760630737""",4,4.07,Allen & Unwin,Paperback,288,2019,2013,2021/05/25,2021/03/17,"library, nonfiction, philosophy, review, self-help, psychology","library (#321), nonfiction (#428), philosophy (#59), review (#110), self-help (#50), psychology (#7)",read,,,,1,,,0,,,,,
25744928,Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,"Newport, Cal",,"=""1455586692""","=""9781455586691""",4,4.19,Grand Central Publishing,Hardcover,296,2016,2016,2021/07/08,2020/03/05,"nonfiction, self-help, library, review, psychology","nonfiction (#319), self-help (#21), library (#145), review (#127), psychology (#6)",read,,,,1,,,0,,,,,
41881472,The Psychology of Money,Morgan Housel,"Housel, Morgan",,"=""""","=""""",5,4.39,Harriman House,Paperback,252,2020,2020,2021/10/14,2021/08/02,"new, nonfiction, review, self-help, st-thomas, psychology","new (#79), nonfiction (#449), review (#129), self-help (#54), st-thomas (#74), psychology (#5)",read,,,,1,,,0,,,,,
66354,Flow: The Psychology of Optimal Experience,Mihaly Csikszentmihalyi,"Csikszentmihalyi, Mihaly",,"=""0060920432""","=""9780060920432""",5,4.09,Harper Perennial,Paperback,303,1990,1990,2021/05/09,2020/10/04,"nonfiction, philosophy, library, self-help, science, read-again, want-to-own, psychology","nonfiction (#351), philosophy (#40), library (#224), self-help (#32), science (#214), read-again (#39), want-to-own (#13), psychology (#4)",read,,,,1,,,0,,,,,
28815,Influence: The Psychology of Persuasion,Robert B. Cialdini,"Cialdini, Robert B.",,"=""006124189X""","=""9780061241895""",4,4.20,Harper Business,Paperback,320,2006,1984,2021/04/20,2017/02/12,"munger, nonfiction, science, library, self-help, review, psychology","munger (#8), nonfiction (#164), science (#132), library (#223), self-help (#52), review (#117), psychology (#3)",read,,,,1,,,0,,,,,
29363487,Felt Time: The Psychology of How We Perceive Time,Marc Wittmann,"Wittmann, Marc",Erik Butler,"=""""","=""""",3,3.56,The MIT Press,Kindle Edition,185,2016,2012,2016/12/18,2016/05/01,"nonfiction, philosophy, kindle, psychology","nonfiction (#137), philosophy (#9), kindle (#76), psychology (#2)",read,,,,1,,,0,,,,,
66322,Creativity: Flow and the Psychology of Discovery and Invention,Mihaly Csikszentmihalyi,"Csikszentmihalyi, Mihaly",,"=""0060928204""","=""9780060928209""",5,4.08,Harper Perennial,Paperback,372,1997,1996,2020/10/12,2015/04/23,"life-changing, science, nonfiction, kindle, favorites, philosophy, read-again, want-to-own, review, psychology","life-changing (#13), science (#66), nonfiction (#58), kindle (#119), favorites (#56), philosophy (#41), read-again (#23), want-to-own (#5), review (#8), psychology (#1)",read,,,,1,,,0,,,,,
4465002,The Practice Of Oxygen Measurement For Divers,J.S.  Lamb,"Lamb, J.S.",,"=""0941332683""","=""9780941332682""",4,4.00,Best Pub. Co.,Paperback,120,,,2021/12/13,2021/12/10,"diving, nonfiction, science, st-thomas","diving (#36), nonfiction (#470), science (#251), st-thomas (#78)",read,,,,1,,,0,,,,,
3591262,Cutting for Stone,Abraham   Verghese,"Verghese, Abraham",,"=""0375414495""","=""9780375414497""",4,4.30,Alfred A. Knopf,Hardcover,541,2009,2009,2021/12/12,2014/02/09,"top-100-lifetime, audio, emotional, fiction, library, diversity","top-100-lifetime (#50), audio (#47), emotional (#41), fiction (#512), library (#232), diversity (#61)",read,,,,1,,,0,,,,,
228665,"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,"Jordan, Robert",,"=""0812511816""","=""9780812511819""",3,4.18,Tor Books,Mass Market Paperback,800,1990,1990,2019/03/08,2017/04/13,"fiction, library, fantasy, st-thomas, made-into-movie","fiction (#342), library (#11), fantasy (#36), st-thomas (#40), made-into-movie (#177)",read,,,,2,,,0,,,,,
32191706,The Color of Law: A Forgotten History of How Our Government Segregated America,Richard Rothstein,"Rothstein, Richard",,"=""1631492853""","=""9781631492853""",5,4.45,Liveright,Hardcover,368,2017,2017,2021/12/05,2021/07/29,"diversity, history, library, nonfiction, review","diversity (#57), history (#193), library (#341), nonfiction (#447), review (#148)",read,,,,1,,,0,,,,,
55835653,Below the Edge of Darkness: A Memoir of Exploring Light and Life in the Deep Sea,Edith Widder,"Widder, Edith",,"=""0525509240""","=""9780525509240""",0,4.11,Random House,Hardcover,352,2021,2021,,2021/12/02,"to-read, biography, biology, island, learning, nonfiction, ocean, review, science, st-thomas, new","to-read (#376), biography (#135), biology (#132), island (#46), learning (#102), nonfiction (#468), ocean (#86), review (#146), science (#249), st-thomas (#76), new (#93)",to-read,,,,0,,,0,,,,,
55825856,The Brilliant Abyss,Helen Scales,"Scales, Helen",,"=""0802158242""","=""9780802158246""",0,4.07,Atlantic Monthly Press,ebook,288,2021,2021,,2021/12/02,"to-read, biology, climate-change, island, learning, nonfiction, ocean, review, science, st-thomas, new","to-read (#377), biology (#133), climate-change (#17), island (#47), learning (#103), nonfiction (#469), ocean (#87), review (#147), science (#250), st-thomas (#77), new (#92)",to-read,,,,0,,,0,,,,,
51938590,The Book of Eels: Our Enduring Fascination with the Most Mysterious Creature in the Natural World,Patrik Svensson,"Svensson, Patrik",Agnes Broomé,"=""0062968815""","=""9780062968814""",4,3.93,Ecco,Hardcover,256,2020,2019,2021/11/28,2021/11/20,"biology, library, nonfiction, ocean, science, biography, history, history-of-science","biology (#131), library (#358), nonfiction (#466), ocean (#85), science (#248), biography (#134), history (#200), history-of-science (#102)",read,,,,1,,,0,,,,,
33931044,The Butchering Art: Joseph Lister's Quest to Transform the Grisly World of Victorian Medicine,Lindsey Fitzharris,"Fitzharris, Lindsey",,"=""0374117292""","=""9780374117290""",4,4.30,Scientific American,Hardcover,304,2017,2017,2021/11/25,2021/10/18,"biography, biology, history, history-of-science, library, nonfiction, science","biography (#133), biology (#129), history (#198), history-of-science (#101), library (#353), nonfiction (#461), science (#246)",read,,,,1,,,0,,,,,
21,A Short History of Nearly Everything,Bill Bryson,"Bryson, Bill",,"=""076790818X""","=""9780767908184""",4,4.20,Crown Publishing Group (NY),Paperback,544,2004,2003,2018/03/24,2014/02/09,"history-of-science, nonfiction, science, history, kindle, biology, space, review, want-to-own","history-of-science (#19), nonfiction (#71), science (#77), history (#70), kindle (#98), biology (#72), space (#43), review (#80), want-to-own (#18)",read,,,,1,,,0,,,,,
386187,Midnight in the Garden of Good and Evil,John Berendt,"Berendt, John",,"=""0679751521""","=""9780679751526""",3,3.92,Vintage,Paperback,386,1999,1994,2021/11/20,2014/02/09,"award-winning, history, nonfiction, library","award-winning (#44), history (#105), nonfiction (#225), library (#354)",read,,,,1,,,0,,,,,
57055861,Sticky: The Secret Science of Surfaces,Laurie Winkless,"Winkless, Laurie",,"=""1472950836""","=""9781472950833""",0,4.09,Bloomsbury Sigma,Hardcover,336,2022,,,2021/11/17,"to-read, learning, new, nonfiction, review, science","to-read (#375), learning (#101), new (#91), nonfiction (#465), review (#145), science (#247)",to-read,,,,0,,,0,,,,,
55200346,Vanderbilt: The Rise and Fall of an American Dynasty,Anderson Cooper,"Cooper, Anderson",Katherine Howe,"=""006296464X""","=""9780062964649""",4,3.88,Harper,ebook,336,2021,2021,2021/11/06,2021/10/09,"biography, library, new, nonfiction, audio, history","biography (#132), library (#352), new (#88), nonfiction (#459), audio (#84), history (#197)",read,,,,1,,,0,,,,,
53441709,The New Climate War: The Fight to Take Back Our Planet,Michael E.  Mann,"Mann, Michael E.",,"=""1541758234""","=""9781541758230""",4,4.05,PublicAffairs,Hardcover,368,2021,2021,2021/11/06,2021/08/19,"climate-change, new, nonfiction, review, science, history, st-thomas","climate-change (#13), new (#84), nonfiction (#455), review (#134), science (#243), history (#199), st-thomas (#75)",read,,,,1,,,0,,,,,
325421,"The Story of Doctor Dolittle (Doctor Dolittle, #1)",Hugh Lofting,"Lofting, Hugh","Michael Hague, Peter Glassman, Patricia C. McKissack, Fredrick L. McKissack","=""0060775971""","=""9780060775971""",2,3.97,HarperCollins,Paperback,144,2005,1920,2020/02/01,2017/04/13,"kindle, fiction, made-into-movie, classics, childrens","kindle (#234), fiction (#339), made-into-movie (#101), classics (#118), childrens (#4)",read,,,,1,,,0,,,,,
