Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
44153387,"The Feather Thief: Beauty, Obsession, and the Natural History Heist of the Century",Kirk Wallace Johnson,"Johnson, Kirk Wallace",,"=""1101981636""","=""9781101981634""",4,4.01,Penguin Books,Paperback,336,2019,2018,2020/03/05,2020/01/02,"biology, brain-scoop, history-of-science, kindle, nonfiction, science, review","biology (#96), brain-scoop (#4), history-of-science (#73), kindle (#321), nonfiction (#303), science (#192), review (#80)",read,,,,1,0
546725,The Song of the Dodo: Island Biogeography in an Age of Extinction,David Quammen,"Quammen, David",,"=""0684827123""","=""9780684827124""",4,4.28,Scribner,Paperback,702,1997,1996,2019/06/29,2014/02/09,"biology, science, island, kindle, nonfiction, history-of-science, review","biology (#3), science (#5), island (#17), kindle (#290), nonfiction (#239), history-of-science (#67), review (#79)",read,"I was so torn about what rating to give this book. At some points, a 5, but at others, a 3, so I settled on a 4.<br/>At times it was too distracted from the point. The author is a travel writer and it shows, but it doesn’t add much. He described whatever little tale from the field struck his fancy, meandering through it before abruptly returning to the point. Sometimes entertaining, but mostly distracting and confusing.<br/>Very well-written and well-researched, albeit unfocused. Certainly thought-provoking, but it would have been more enjoyable if it were shorter.<br/>Also no concluding chapter? After all that time invested I would have liked a neat little summary as something to digest, a parting thought.",,,1,0
32191710,Astrophysics for People in a Hurry,Neil deGrasse Tyson,"Tyson, Neil deGrasse",,"=""0393609391""","=""9780393609394""",4,4.08,W. W. Norton & Company,Hardcover,223,2017,2017,2018/01/20,2017/11/07,"nonfiction, science, space, kindle, review","nonfiction (#192), science (#147), space (#37), kindle (#259), review (#78)",read,,,,1,0
29947651,"Endurance: A Year in Space, A Lifetime of Discovery",Scott    Kelly,"Kelly, Scott",Margaret Lazarus Dean,"=""1524731595""","=""9781524731595""",4,4.21,Alfred A. Knopf,Hardcover,400,2017,2017,2020/02/12,2017/10/15,"biography, nonfiction, science, space, library, review","biography (#44), nonfiction (#188), science (#145), space (#35), library (#135), review (#77)",read,,,,1,0
475,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,"Diamond, Jared",,"=""0143036556""","=""9780143036555""",4,3.93,Penguin Books Ltd. (London),Paperback,608,2005,2004,2015/03/14,2014/02/09,"history, nonfiction, science, kindle, review","history (#6), nonfiction (#2), science (#54), kindle (#19), review (#75)",read,,,,1,0
25734172,Seven Brief Lessons on Physics,Carlo Rovelli,"Rovelli, Carlo",,"=""0399184414""","=""9780399184413""",4,3.98,Riverhead Books,Hardcover,81,2016,2014,2019/09/25,2016/05/01,"history-of-science, nonfiction, science, space, library, review","history-of-science (#38), nonfiction (#135), science (#111), space (#22), library (#98), review (#73)",read,,,,1,0
16165367,Brain on Fire: My Month of Madness,Susannah Cahalan,"Cahalan, Susannah",,"=""""","=""""",4,4.09,Free Press,Kindle Edition,290,2012,2012,2018/05/12,2014/02/09,"biography, nonfiction, kindle, review","biography (#22), nonfiction (#107), kindle (#277), review (#72)",read,"Susannah Cahalan is a great storyteller, beginning with an excellent hook and coming back to it in the end with new revelations, bringing the story full circle. It’s a true story, but she tells it with the detail and emotion that makes you hungry for more, rare in a nonfiction book. I loved every moment from her bizarre reporting experiences to her detailed descriptions of how it felt to not understand yourself. She is somehow able to objectively describe these deeply personal themes, piecing together the story from the memories of everyone involved, each incomplete because of PTSD from the experience. She opens up fully to the reader, exposing her deepest thoughts and emotions, and winning me over with her vulnerability. “I wouldn’t take that terrible experience back for anything in the world. Too much light has come out of my darkness.”",,,1,0
7914581,Sealab: America's Forgotten Quest to Live and Work on the Ocean Floor,Ben Hellwarth,"Hellwarth, Ben",,"=""0743247450""","=""9780743247450""",4,3.63,Simon & Schuster,Hardcover,388,2012,2010,2017/02/24,2015/09/09,"diving, history, history-of-science, nonfiction, ocean, science, st-thomas, review","diving (#12), history (#59), history-of-science (#29), nonfiction (#120), ocean (#33), science (#97), st-thomas (#3), review (#71)",read,,,,1,0
10147075,Demon Fish: Travels Through the Hidden World of Sharks,Juliet Eilperin,"Eilperin, Juliet",,"=""0375425128""","=""9780375425127""",4,3.89,Pantheon,Hardcover,295,2011,2011,,2015/08/16,"biology, nonfiction, ocean, science, review","biology (#51), nonfiction (#114), ocean (#32), science (#95), review (#70)",read,,,,1,0
359434,Surviving the Extremes: What Happens to the Body and Mind at the Limits of Human Endurance,Kenneth Kamler,"Kamler, Kenneth",,"=""0143034510""","=""9780143034513""",4,4.16,Penguin Books,Paperback,336,2004,2004,2016/10/30,2015/08/15,"biography, biology, nonfiction, ocean, science, space, kindle, diving, review","biography (#23), biology (#50), nonfiction (#109), ocean (#29), science (#93), space (#18), kindle (#75), diving (#16), review (#69)",read,,,,1,0
